"instance_index","explanation","justification"
20,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
21,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
22,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
23,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
24,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 145 clients which match the conditions of this rule in the training dataset. Out of these 138 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
25,"MSinceMostRecentDelq is between 0 (incl) to 20 (incl) THEN RiskPerformance is Bad","There were 140 clients which match the conditions of this rule in the training dataset. Out of these 125 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  89 %."
26,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
27,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
28,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
29,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
30,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
31,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
32,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
33,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
34,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
35,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
36,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
37,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
38,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
39,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
40,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
41,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 145 clients which match the conditions of this rule in the training dataset. Out of these 138 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
42,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
43,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
44,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
45,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
46,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
47,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
48,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
49,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
50,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
51,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
52,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
53,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
54,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
55,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
56,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
57,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
58,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
59,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
60,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
61,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
62,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
63,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
64,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
65,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
66,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
67,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
68,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
69,"PercentTradesWBalance is between 88 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1898 clients which match the conditions of this rule in the training dataset. Out of these 1384 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
70,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
71,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
72,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
73,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
74,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
75,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
76,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
77,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
78,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
79,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
80,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
81,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
82,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
83,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
84,"MSinceMostRecentInqexcl7days is between -9 (incl) to 0 (incl) THEN RiskPerformance is Bad","There were 325 clients which match the conditions of this rule in the training dataset. Out of these 260 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  80 %."
85,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
86,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
87,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
88,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
89,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
90,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
91,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
92,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 145 clients which match the conditions of this rule in the training dataset. Out of these 138 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
93,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
94,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
95,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
96,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
97,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
98,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
99,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
100,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
101,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
102,"ExternalRiskEstimate is between 43 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 145 clients which match the conditions of this rule in the training dataset. Out of these 138 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
103,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
104,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
105,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
106,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
107,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
108,"AverageMInFile is between 4 (incl) to 52 (incl) THEN RiskPerformance is Bad","There were 2030 clients which match the conditions of this rule in the training dataset. Out of these 1489 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  73 %."
109,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
110,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
111,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
112,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
113,"NumInqLast6Mexcl7days is between 4 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 24 clients which match the conditions of this rule in the training dataset. Out of these 24 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  100 %."
114,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
115,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
116,"NumTrades90Ever2DerogPubRec is between 1 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 100 clients which match the conditions of this rule in the training dataset. Out of these 85 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  84 %."
117,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
118,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
119,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
120,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
121,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
122,"MSinceOldestTradeOpen is between 4 (incl) to 97 (incl) THEN RiskPerformance is Bad","There were 1286 clients which match the conditions of this rule in the training dataset. Out of these 953 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  74 %."
123,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
124,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
125,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
126,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
127,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
128,"No specific rule applies to this instance. In such case, RiskPerformance=Good is assumed",""
129,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
130,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
131,"MSinceOldestTradeOpen is lower than 81 (incl) THEN RiskPerformance is Bad","There were 48 clients which match the conditions of this rule in the training dataset. Out of these 48 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  100 %."
132,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
133,"NetFractionRevolvingBurden is between 64 (incl) to Inf (incl) THEN RiskPerformance is Bad","There were 1901 clients which match the conditions of this rule in the training dataset. Out of these 1476 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  78 %."
134,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
135,"ExternalRiskEstimate is between 36 (incl) to 63 (incl) THEN RiskPerformance is Bad","There were 2148 clients which match the conditions of this rule in the training dataset. Out of these 1757 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  82 %."
136,"MSinceOldestTradeOpen is between 2 (incl) to 99 (incl) THEN RiskPerformance is Bad","There were 96 clients which match the conditions of this rule in the training dataset. Out of these 92 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  96 %."
137,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
138,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
139,"ExternalRiskEstimate is between 82 (incl) to Inf (incl) THEN RiskPerformance is Good","There were 2058 clients which match the conditions of this rule in the training dataset. Out of these 1677 are predicted correctly as having RiskPerformance=Good by this rule. The confidence of the rule is thus  81 %."
140,"NumSatisfactoryTrades is lower than 12 (incl) THEN RiskPerformance is Bad","There were 76 clients which match the conditions of this rule in the training dataset. Out of these 73 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  95 %."
141,"PercentTradesNeverDelq is between 11 (incl) to 85 (incl) THEN RiskPerformance is Bad","There were 1810 clients which match the conditions of this rule in the training dataset. Out of these 1397 are predicted correctly as having RiskPerformance=Bad by this rule. The confidence of the rule is thus  77 %."
